APPART,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
11,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,1,1,1,1,0,2,2,1,1,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,2,2,2,1,2,1,1,1,0,0,2,2,1,0,0,1,1,2,2,1,0,0,1,0,2,2,0,0,0,0,0,2,0,1,1,0,0,0,2,0
12,1,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,0,1,2,2,1,0,0,1,0,2,2,1,2,2,0,0,2,2,0,0,0,0,0,2,0,1,1,0,0,0,2,2,0,1,0,0,1,2,2,1,1,0,0,0,2,2,1,0,0,1,1,2,2,1,1,1,1,1,2,2
13,0,1,0,0,0,2,2,0,1,1,1,1,0,2,1,1,1,1,1,2,0,1,1,1,0,0,2,2,1,1,1,1,1,2,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,2,0,0,2,2,2,2,0,0,1,0,2,2,0,1,0,0,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2
14,0,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,2,1,2,1,1,0,2,2,1,0,2,2,0,2,0,1,1,1,1,1,0,2,1,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,1,1,2,2,1,0,0,0,0,2,2
15,1,1,0,1,1,2,0,1,0,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,2,0,1,1,1,1,1,1,1,0,0,0,1,0,2,1,0,0,2,0,1,1,1,1,1,1,0,2,1,1,0,0,0,1,1,2,2,0,2,0,0,1,2,2,1,0,0,1,0,2,2,0,2,1,0,1,2,2,1,1,0,1,1,2,2
16,1,1,1,1,1,2,2,0,0,0,0,2,2,0,1,1,1,1,1,2,2,1,1,1,1,1,0,0,1,1,1,1,1,2,2,2,0,0,0,0,2,2,0,1,0,0,0,2,0,0,0,0,0,1,2,2,1,1,1,1,1,2,2,1,1,1,0,0,2,2,0,0,0,0,1,2,2,1,1,1,0,0,2,2,0,0,0,1,1,2,2
17,1,1,1,1,1,0,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,0,1,1,1,1,2,2,1,1,1,1,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,1,1,1,0,0,2,2,0,0,0,0,0,2,2,0,1,0,1,0,2,2,0,1,0,0,0,2,2,1,1,1,1,0,2,2
18,1,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,1,0,0,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,0,1,0,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,2,1,1,1,2,2,1,1,0,0,1,2,2
19,1,1,1,1,0,2,2,0,1,1,1,1,2,2,1,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,1,1,1,2,1,0,2,0,2,1,2,0,1,1,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,1,0,2,2,1,1,1,1,0,2,2,1,0,1,1,2,2,2,0,0,0,1,0,2,2,0,1,1,1,0,2,2
20,1,1,1,1,1,2,2,1,1,1,0,0,0,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,1,2,2,1,1,1,1,1,2,2,1,1,0,1,1,2,2,0,0,0,0,0,2,2,2,0,1,0,0,2,2
21,0,1,0,1,1,2,0,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,2,0,0,0,0,0,0,2,2,0,1,0,0,0,2,2,0,0,0,0,0,2,2,0,2,0,1,0,2,2,1,0,1,0,0,2,2,0,1,1,0,0,2,0,0,0,0,0,1,2,2,0,0,0,0,1,2,2
22,1,0,0,1,1,2,2,1,1,1,1,1,2,2,1,0,0,1,1,2,2,2,1,1,1,1,2,2,1,1,1,0,1,2,2,2,2,2,2,1,2,2,1,2,0,1,1,2,2,0,0,0,0,2,0,2,0,1,1,0,1,2,2,0,0,0,0,0,2,0,2,0,0,1,1,0,2,1,1,1,1,1,2,2,1,0,1,1,0,2,2
23,1,0,1,1,1,2,1,1,1,0,1,1,2,2,1,1,0,1,0,2,2,0,0,0,0,0,2,2,0,0,1,0,0,2,2,0,0,0,1,0,2,2,1,1,1,0,0,2,2,0,2,2,2,1,2,2,0,0,1,0,0,2,2,0,0,0,0,0,2,2,0,1,0,1,1,2,2,1,1,1,0,0,2,2,0,1,1,1,0,2,2
24,1,1,1,1,0,2,2,1,1,1,1,1,0,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,1,1,1,1,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,0,2,0,0,1,1,1,2,0,0,1,0,0,1,0,0,0,1,0,1,1,2,2,1,1,0,0,0,2,2
25,1,0,1,0,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,2,2,1,0,0,0,0,2,2,0,0,0,0,0,2,2,1,0,0,0,1,2,2,0,1,1,0,0,2,2
26,1,1,1,1,1,2,2,1,1,1,0,1,0,0,1,0,1,1,1,0,2,0,0,1,0,0,2,2,1,1,1,1,1,2,2,0,0,0,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,0,0,0,0,0,2,2,0,0,1,0,1,1,2,1,1,1,1,0,2,2,0,0,0,0,2,2,2,1,0,1,0,1,2,2
27,1,1,1,1,1,2,2,1,1,0,0,1,2,2,1,1,1,1,0,0,2,1,1,1,1,1,0,0,1,1,1,0,1,0,2,0,0,0,1,1,0,2,1,0,0,0,0,2,2,1,0,0,0,1,2,2,1,1,0,0,0,2,2,1,0,0,1,0,2,2,1,0,1,0,0,2,2,2,2,1,1,1,2,2,1,0,1,0,0,2,2
28,0,1,1,1,1,2,2,0,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,0,1,2,2,1,1,1,1,1,2,2,0,0,0,1,1,0,0,1,1,2,2,1,0,2,0,0,1,0,0,2,2,0,1,0,1,0,2,2,1,0,0,0,0,2,2,1,1,1,1,1,2,2,0,1,1,0,1,2,2,0,1,0,1,0,2,2
29,1,1,1,1,1,2,2,1,1,1,1,1,0,0,1,1,1,1,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,1,0,0,0,0,2,2,1,1,1,1,1,2,2,0,0,0,0,0,2,2,1,1,1,1,0,2,2,0,0,1,1,1,2,2,0,1,1,0,0,2,2
30,1,1,1,1,1,2,2,1,1,1,0,0,2,2,1,0,1,1,1,2,2,1,1,1,1,1,2,2,1,0,0,0,1,2,2,0,0,2,2,2,0,0,0,0,0,1,1,2,2,0,0,0,0,2,2,1,0,0,0,0,0,2,2,0,1,1,1,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,1,0,0,1,2,2
31,1,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,0,0,0,2,2,0,1,0,0,1,2,2,1,1,1,1,1,2,2,0,2,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,2,1,1,2,2,1,0,1,1,0,2,2,0,0,0,1,0,2,2,0,1,1,0,0,2,1,0,1,0,0,0,2,2
32,1,1,1,1,1,2,2,1,1,1,0,0,2,0,1,1,1,1,1,0,2,1,1,1,1,1,2,2,1,1,1,1,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,1,0,0,0,1,2,2,1,1,0,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0
33,1,1,1,0,0,0,0,1,1,1,1,1,2,2,1,1,1,0,1,0,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,2,0,2,2,0,0,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,0,1,0,1,0,2,2
34,1,1,1,1,1,2,0,0,0,0,0,1,0,2,1,1,1,1,1,2,2,0,1,0,0,1,0,2,1,1,0,1,1,2,2,1,0,1,0,0,2,2,1,1,0,0,1,2,2,0,1,0,2,0,0,1,0,0,0,0,1,2,2,1,1,1,0,0,2,2,0,0,1,1,0,1,2,0,0,1,0,0,2,2,2,0,0,0,0,2,2
35,0,0,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,0,0,1,0,1,2,0,0,1,0,1,2,2,0,0,0,0,0,0,2,1,0,0,0,0,2,2,0,0,0,2,0,2,2,0,0,0,1,1,2,2,1,1,1,1,1,2,2,0,1,0,1,1,2,2,0,0,0,1,0,2,2,0,0,0,0,0,2,2
36,1,0,1,1,1,2,2,1,1,1,1,1,0,0,1,0,1,0,1,0,2,1,1,1,1,1,2,2,0,1,1,1,1,2,2,0,0,0,0,2,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,1,2,2,2,2,0,1,0,0,0,2,2,1,1,0,0,1,2,2,1,0,0,1,1,2,2,1,1,0,0,0,2,0
37,1,2,2,1,1,0,2,1,1,1,1,1,2,2,1,1,1,1,1,0,2,1,1,1,0,0,2,0,1,1,0,1,0,0,2,0,1,1,1,1,2,2,1,0,0,1,1,2,2,0,0,0,1,1,2,2,0,0,0,0,1,2,2,1,1,0,0,0,2,2,0,0,0,0,0,2,2,1,0,1,1,0,2,2,0,0,0,0,0,2,2
38,1,1,1,1,1,2,2,1,1,1,1,1,2,0,1,1,1,1,1,0,0,1,1,1,1,1,2,2,1,1,1,1,1,2,2,2,0,0,0,0,2,2,1,1,1,1,2,2,2,2,1,2,1,0,2,0,0,0,0,0,0,2,2,0,1,1,0,0,2,2,1,0,0,0,0,2,2,0,0,1,1,1,2,2,2,0,1,0,1,2,2
39,1,1,1,1,1,2,2,1,0,0,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,0,2,0,0,0,2,2,2,2,2,1,2,1,1,2,0,1,1,1,1,1,2,2,1,0,1,1,0,2,2,0,1,0,0,1,0,2,1,0,0,0,0,2,2,0,0,1,1,0,2,2,1,0,0,0,1,2,2
40,1,1,1,1,1,2,0,0,1,1,1,1,0,0,1,1,1,1,1,2,0,1,0,1,1,1,2,2,1,1,1,1,1,2,2,0,1,0,1,0,1,1,0,0,0,2,0,2,2,1,0,0,0,0,2,2,0,0,0,0,1,2,2,1,1,0,1,0,2,2,1,1,1,0,1,2,2,1,1,1,1,1,2,2,1,1,1,0,1,2,2
41,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,0,2,0,0,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,2,2,1,1,1,0,1,2,2,1,0,0,0,0,2,2,0,0,0,0,0,0,2,0,1,0,0,1,2,2,0,0,0,0,0,2,2
42,1,1,1,1,1,2,2,1,1,1,1,1,2,2,0,1,1,1,1,0,0,0,1,1,1,1,2,2,1,1,1,0,0,2,2,0,0,2,0,0,2,2,0,0,0,0,2,2,2,0,0,0,0,0,2,2,1,1,1,1,1,2,2,1,1,1,1,0,2,2,1,1,1,1,1,2,2,0,0,0,2,2,2,2,0,0,1,1,1,2,2
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,0,1,1,2,2,2,2,2,2,0,0,0,2,2,0,0,0,1,1,2,0,1,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,1,1,0,2,1,1,0,0,0,0,2,2,0,0,1,0,0,2,2
44,1,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,1,1,1,0,2,1,1,1,1,0,2,2,0,1,1,1,1,2,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,1,1,1,2,2,2,0,0,0,0,2,2,0,0,0,0,0,2,2,0,1,0,0,0,0,2,0,0,0,1,0,2,2
45,1,1,1,1,1,2,2,1,1,1,1,1,1,0,1,1,0,0,0,2,2,0,0,0,0,1,2,2,0,0,1,1,1,2,2,0,0,0,0,2,0,1,2,2,1,1,1,0,2,1,0,1,1,1,2,2,1,1,1,1,1,2,2,1,0,1,1,0,2,2,0,0,0,0,0,2,2,0,2,0,1,1,2,2,1,2,0,1,0,2,2
46,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,2,0,1,2,1,1,2,2,0,1,0,0,0,2,2,0,1,1,1,0,2,2,1,1,0,0,0,0,2,1,1,1,0,0,1,2,0,0,2,0,0,0,2,1,1,1,1,0,2,2,0,1,1,1,0,2,2
47,1,1,0,1,0,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,0,0,0,0,2,2,0,0,0,1,0,2,2,1,1,1,0,0,2,2,0,1,0,1,0,2,2,1,1,1,0,1,2,2,1,1,0,1,0,2,2,1,0,0,0,1,2,2,1,1,0,1,0,2,2
48,1,0,1,1,1,2,2,1,1,1,1,1,2,2,1,1,0,0,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,0,0,1,1,1,0,2,1,0,0,1,1,2,2,1,2,2,2,0,2,2,1,1,0,0,1,0,2,0,1,0,0,1,2,2,1,1,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,2,2,2
49,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,1,1,1,1,0,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,0,1,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,1,0,2,2,1,0,1,1,0,2,2,0,0,1,0,1,2,2,1,1,1,1,1,2,2,1,0,0,0,1,2,2,1,0,0,1,0,2,2
50,1,1,1,1,0,1,2,1,1,0,0,1,0,2,1,1,1,1,1,2,2,1,1,1,1,0,2,2,0,1,1,1,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,2,0,1,0,0,1,1,1,1,1,0,2,1,1,1,1,0,2,2,1,1,0,0,1,2,2,0,0,1,1,0,2,2
51,1,1,1,1,0,2,2,0,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,0,1,1,2,2,0,1,1,1,1,2,2,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,1,1,0,0,2,2,1,1,1,1,1,2,2,0,0,0,1,0,2,0,0,1,1,1,1,0,2,0,1,0,0,1,2,2,1,0,0,0,1,2,2
52,1,1,1,1,1,2,2,1,1,1,0,1,0,2,1,1,1,1,1,2,2,0,0,1,0,1,2,2,1,1,1,0,0,2,2,2,0,0,0,0,2,2,0,1,0,0,0,2,2,2,0,1,1,0,2,2,0,0,0,1,0,2,2,1,0,1,1,0,2,2,0,0,1,0,1,2,2,0,0,0,0,0,2,2,1,1,1,0,1,2,2
53,1,1,1,1,1,2,2,1,1,1,1,1,0,2,1,1,0,1,1,0,2,1,1,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,2,0,0,2,1,0,1,1,1,2,2,1,1,0,0,1,2,2,1,0,0,1,1,2,2,1,0,0,1,1,2,2,1,1,0,1,0,2,2
54,1,1,1,1,0,2,2,0,1,1,1,1,2,1,1,1,1,1,1,2,0,1,1,1,1,1,0,0,2,1,1,1,1,2,2,0,1,0,2,2,2,0,1,1,1,0,0,0,2,0,1,1,1,0,2,0,1,1,1,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,1,2,2,1,1,1,2,1,2,0
55,1,1,1,1,2,2,0,1,1,1,1,1,2,2,1,1,1,0,1,2,2,1,1,1,1,0,2,2,0,0,0,0,1,2,2,2,1,0,0,0,2,2,0,0,0,0,0,2,2,0,0,1,0,0,2,2,0,1,1,1,1,2,2,1,0,0,0,0,2,2,0,1,1,1,1,2,2,1,1,0,0,0,2,2,2,0,0,0,0,0,2
56,1,1,1,1,1,2,2,1,1,1,1,1,2,2,0,0,0,1,1,2,2,1,1,1,1,1,2,0,1,1,1,1,1,2,2,0,0,0,1,1,2,2,1,0,1,0,0,2,2,2,0,2,2,0,0,2,0,1,0,1,1,2,2,1,1,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,1,2,2,1,1,0,0,1,2,2
57,1,0,1,1,0,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,0,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,1,1,0,0,2,2,0,0,1,1,0,2,2,0,1,1,1,1,2,2,1,0,1,1,0,2,2,1,0,1,1,0,2,2,0,2,0,1,0,2,2
58,1,0,0,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,0,1,1,1,1,1,2,2,1,1,1,1,1,2,0,0,1,0,1,2,0,2,2,0,0,0,0,2,2,1,1,0,0,0,2,2,1,0,2,2,0,2,2,1,0,0,1,1,2,2,0,0,2,0,0,2,2,0,0,0,0,0,2,2,0,1,0,0,0,2,2
59,1,0,0,1,1,2,2,1,1,1,1,1,2,2,1,0,1,1,1,2,2,1,0,1,1,1,2,2,1,1,1,1,1,2,2,0,0,0,0,0,2,2,1,1,1,1,1,2,2,1,1,0,2,0,0,2,1,2,0,0,0,1,2,0,0,0,1,0,2,2,1,1,0,0,0,2,2,0,0,1,0,0,2,1,0,1,0,1,1,2,2
60,1,1,0,0,0,2,2,1,1,1,1,1,2,2,1,1,1,1,0,2,2,1,1,1,1,1,2,2,1,1,1,1,1,0,2,1,1,0,0,1,2,2,0,0,1,1,0,0,2,0,0,0,0,1,2,2,0,0,0,0,0,1,2,0,0,1,1,1,2,2,1,1,0,1,0,2,2,0,1,0,0,0,2,2,0,0,0,2,0,2,2
61,1,0,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,0,1,0,0,1,2,2,1,1,1,1,1,2,2,0,1,1,2,0,2,1,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,1,0,2,0,1,0,1,0,1,2,2,0,1,0,0,1,2,2,1,1,1,1,0,2,2,1,0,0,0,0,2,2
62,1,1,1,0,2,2,2,2,2,1,1,1,2,2,1,1,0,1,1,0,2,1,1,1,1,2,2,2,0,0,1,1,1,2,2,0,2,2,1,0,0,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,2,1,1,1,1,1,2,2,1,1,1,1,0,2,2
63,1,1,1,1,1,2,2,1,0,1,1,1,2,2,0,0,0,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,1,2,2,1,1,1,1,0,2,2,0,0,1,0,0,2,2,0,1,1,0,0,2,2,1,0,0,1,0,2,2
64,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,0,0,1,1,1,1,1,0,2,1,1,0,1,1,2,0,1,1,2,2,2,0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,0,2,2,2,1,0,2,2,1,1,1,0,1,2,2,1,1,1,1,1,2,2,1,2,1,1,1,2,2,0,1,1,1,1,2,2
65,1,0,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,0,2,2,2,0,0,2,2,0,0,1,0,0,0,2,0,2,2,2,0,2,2,0,0,0,0,0,2,2,0,0,0,1,0,2,2,0,0,1,1,1,2,2,1,0,1,0,0,2,2,1,0,0,0,0,2,2
66,0,0,0,1,1,2,2,1,1,0,1,1,2,2,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0,0,2,2,0,0,0,0,0,2,2,1,0,1,1,0,2,1,0,0,0,0,1,1,2,0,1,0,0,0,2,2,1,0,1,2,1,2,2,0,1,0,0,0,2,2,1,1,1,1,1,2,2
67,1,1,1,0,1,0,0,1,1,0,1,1,0,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,1,1,0,2,2,1,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,2
68,1,1,1,1,1,2,2,1,1,0,0,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,0,2,2,1,0,0,2,2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,2,2,1,1,0,0,0,2,2,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,2,2,1,1,1,1,1,2,2
69,1,1,1,1,1,2,2,1,1,1,0,0,2,0,0,1,1,1,1,2,2,1,1,1,1,1,2,0,0,1,1,1,1,2,2,1,1,1,1,0,2,2,0,0,0,0,1,2,2,1,1,1,1,1,2,2,1,1,0,0,0,2,2,0,1,0,2,1,2,2,0,1,0,1,0,2,2,1,0,0,0,0,2,2,1,1,1,0,1,0,0
70,1,1,1,1,1,2,2,1,0,0,0,1,0,0,1,0,1,1,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,2,0,0,1,0,2,2,0,0,0,0,1,2,2,1,1,1,0,0,2,2,1,0,1,1,0,2,2,0,1,1,0,1,2,2,1,1,1,1,0,2,2,1,1,1,1,1,2,0,1,1,1,1,0,2,2
71,1,0,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,0,1,1,2,0,2,2,1,1,1,2,1,0,0,0,0,0,1,2,2,0,0,0,0,2,2,0,0,0,1,0,2,2,0,1,0,1,0,2,2,0,0,0,1,0,2,2,0,0,1,1,0,2,2,0,0,0,0,1,2,2
72,1,1,1,1,1,2,2,1,1,0,1,1,2,2,1,1,1,1,0,0,2,1,1,1,1,1,2,0,1,1,0,0,1,0,2,0,0,0,0,0,2,2,0,2,1,0,0,2,2,0,0,0,0,0,2,2,0,0,1,1,1,2,2,1,1,0,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,2,2
73,1,2,2,2,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,2,2,1,1,1,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,0,0,2,0,0,2,2,0,0,0,0,1,2,0,0,1,0,0,0,2,2,0,0,0,1,1,2,2,1,1,1,0,0,2,2,0,1,1,1,1,2,2,1,0,0,0,0,2,2
74,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,0,0,0,2,2,0,0,0,0,1,0,2,1,1,1,1,1,0,2,1,1,1,2,0,0,2,1,0,0,0,1,2,2,1,1,1,1,1,0,2,0,0,1,0,0,2,2,2,0,0,0,0,2,2,0,1,0,0,0,2,2
